Date,Open,High,Low,Close,Volume
09/24/2024,"254.08","257.19","249.05","254.27","88,491,000"
09/23/2024,"242.61","250.00","241.92","250.00","86,927,195"
09/20/2024,"241.52","243.99","235.92","238.25","99,879,070"
09/19/2024,"234.00","244.24","232.13","243.92","102,694,602"
09/18/2024,"230.09","235.68","226.88","227.20","78,010,203"
09/17/2024,"229.45","234.57","226.55","227.87","66,761,641"
09/16/2024,"229.30","229.96","223.53","226.78","54,323,000"
09/13/2024,"228.00","232.67","226.32","230.29","59,515,113"
09/12/2024,"224.66","231.45","223.83","229.81","72,020,039"
09/11/2024,"224.55","228.47","216.80","228.13","83,548,633"
09/10/2024,"220.07","226.40","218.64","226.17","78,891,133"
09/09/2024,"216.20","219.87","213.67","216.27","67,443,523"
09/06/2024,"232.60","233.60","210.51","210.73","112,177,000"
09/05/2024,"223.49","235.00","222.25","230.17","119,355,000"
09/04/2024,"210.59","222.22","210.57","219.41","80,651,766"
09/03/2024,"215.26","219.90","209.64","210.60","76,551,800"
08/30/2024,"208.63","214.57","207.03","214.11","63,370,609"
08/29/2024,"209.80","214.89","205.97","206.28","62,308,820"
08/28/2024,"209.72","211.84","202.59","205.75","64,116,352"
08/27/2024,"213.25","215.66","206.94","209.21","62,821,391"
08/26/2024,"218.75","219.09","211.01","213.21","59,301,191"
